,year,week,date,day,time_of_day,room_name,class_type,faculty,school,joint,status,degree,enrollment,class_duration,attendance,class_type_new,attendance_by_class,date-year,date-month,date-day,normalized_attendance,normalized_attendance2
132,2017,3,8/14/2017,1,0,2,0,2,17,0,4,2,424,2,167,4,2,2017,8,14,0.393867925,1
133,2017,4,8/22/2017,3,2,2,0,5,8,0,4,2,381,2,168,4,2,2017,8,22,0.440944882,1
134,2017,2,8/11/2017,0,2,2,0,5,15,0,4,2,419,1,115,4,2,2017,8,11,0.274463007,0
135,2017,5,8/28/2017,1,2,2,0,5,15,0,4,2,419,1,120,4,2,2017,8,28,0.286396181,0
136,2017,8,9/20/2017,4,1,2,0,6,12,0,4,2,381,2,52,3,1,2017,9,20,0.13648294,0
137,2017,1,8/1/2017,3,2,2,0,2,16,0,4,2,452,2,213,5,2,2017,8,1,0.471238938,1
138,2017,0,7/26/2017,4,1,2,0,5,28,0,2,2,385,1,85,3,1,2017,7,26,0.220779221,0
139,2017,3,8/14/2017,1,2,2,0,2,16,0,4,2,457,2,113,4,2,2017,8,14,0.24726477,0
140,2017,1,8/2/2017,4,2,2,0,5,8,0,4,2,447,1,188,4,2,2017,8,2,0.420581655,1
141,2017,8,9/22/2017,0,0,2,0,2,16,1,4,2,455,2,119,4,2,2017,9,22,0.261538462,0
142,2017,11,10/18/2017,4,2,2,0,2,16,0,4,2,409,2,246,5,2,2017,10,18,0.601466993,2
143,2017,4,8/23/2017,4,2,2,0,2,16,0,4,2,409,2,157,4,2,2017,8,23,0.383863081,1
144,2017,6,9/7/2017,2,2,2,0,2,16,0,4,2,452,1,51,2,1,2017,9,7,0.112831858,0
145,2017,6,9/7/2017,2,1,2,0,6,7,1,2,2,304,1,154,4,2,2017,9,7,0.506578947,1
146,2017,4,8/24/2017,2,2,2,0,2,16,0,4,2,452,1,135,4,2,2017,8,24,0.298672566,0
147,2017,8,9/20/2017,4,2,2,0,2,16,0,4,2,409,2,102,4,2,2017,9,20,0.249388753,0
148,2017,2,8/11/2017,0,0,2,0,5,15,0,4,2,386,1,92,3,1,2017,8,11,0.238341969,0
149,2017,0,7/26/2017,4,0,2,0,5,28,0,4,2,403,1,145,4,2,2017,7,26,0.359801489,1
150,2017,3,8/15/2017,3,0,2,0,6,11,0,4,2,366,2,123,4,2,2017,8,15,0.336065574,1
151,2017,3,8/15/2017,3,1,2,0,2,16,0,4,2,459,2,158,4,2,2017,8,15,0.34422658,1
152,2017,5,8/31/2017,2,1,2,0,6,7,1,2,2,304,1,70,3,1,2017,8,31,0.230263158,0
153,2017,11,10/17/2017,3,0,2,0,6,11,0,4,2,366,2,133,4,2,2017,10,17,0.363387978,1
154,2017,9,10/5/2017,2,2,2,0,5,28,0,2,2,271,1,48,2,1,2017,10,5,0.177121771,0
155,2017,3,8/14/2017,1,1,2,0,2,17,0,4,0,320,1,118,4,2,2017,8,14,0.36875,1
156,2017,11,10/19/2017,2,1,2,0,6,7,1,2,2,304,1,124,4,2,2017,10,19,0.407894737,1
157,2017,4,8/24/2017,2,0,2,0,0,29,0,4,2,354,2,123,4,2,2017,8,24,0.347457627,1
158,2017,6,9/7/2017,2,2,2,0,2,16,0,4,2,409,1,117,4,2,2017,9,7,0.28606357,0
159,2017,2,8/10/2017,2,2,2,0,2,16,0,4,2,409,1,181,4,2,2017,8,10,0.442542787,1
160,2017,1,8/1/2017,3,1,2,0,2,16,0,4,2,459,2,215,5,2,2017,8,1,0.468409586,1
